A      000000 
B      000001 
BEGIN  000010 
MES01  000023 
MS2    000035 
DRPTR  000101 
DRKEY  000102 
DRHSP  000103 
DRTTY  000104 
FWAM   000105 
LWAM   000106 
DRMAG  000107 
.      001650 
LWSBP  000110 
EOBP   000111 
TRANS  000112 
AINPT  000113 
IPARM  000114 
APARS  000115 
AGNIO  000116 
AGETA  000117 
AGETN  000120 
AGETO  000121 
AGINI  000122 
AFWAP  000123 
INDAD  000124 
ADIN   000125 
ADOUT  000126 
ALOAD  000127 
ALODS  000130 
ABPOT  000131 
ACLRT  000132 
ACLID  000133 
AIDSN  000134 
ALABD  000135 
AREMD  000136 
ACONV  000137 
ARECO  000140 
AREDO  000141 
AMOVE  000142 
AGEND  000143 
AOUTD  000144 
AZOUT  000145 
ADSET  000146 
ANOTS  000147 
BLODR  000150 
ABASC  000151 
ARTEX  000152 
ABOOT  000153 
ASBUF  000154 
A#SCT  000155 
A#MSK  000156 
AREAD  000157 
DEMOT  000160 
ALRT6  000161 
ATSTL  000162 
ASCHF  000163 
ZERO   000164 
N1     000165 
N2     000166 
N3     000167 
N4     000170 
N5     000171 
N6     000172 
N8     000173 
N9     000174 
N10    000175 
N11    000176 
N24    000177 
N27    000200 
N60    000201 
N64    000202 
N100   000203 
P2     000204 
P3     000205 
P4     000206 
P5     000207 
P6     000210 
P7     000211 
P8     000212 
P9     000213 
P11    000214 
P12    000215 
P14    000216 
P15    000217 
P16    000220 
P17    000221 
P18    000222 
P22    000223 
P23    000224 
P24    000225 
P25    000226 
P28    000227 
P33    000230 
P38    000231 
P64    000232 
P99    000233 
L6     000172 
L10    000173 
L12    000175 
L60    000234 
L2000  000235 
M7     000211 
M22    000222 
M4     000206 
M37    000236 
M60    000237 
M77    000240 
M120   000241 
M177   000242 
M377   000243 
M0760  000244 
M1740  000245 
M1600  000246 
M1777  000247 
M2000  000250 
M2002  000251 
M2004  000252 
M2006  000253 
M1377  000254 
M7400  000255 
M7000  000256 
M7600  000257 
M7700  000260 
M7777  000261 
DPWRS  000262 
P0100  000263 
P1000  000264 
P100   000265 
P10    000266 
P1     000267 
OPWRS  000270 
M0100  000271 
M1000  000272 
M100   000273 
M10    000274 
BLANK  000276 
UBLNK  000277 
MSIGN  000300 
DSKAB  000301 
BUFCL  000302 
SPACE  000313 
ERROR  000317 
IRERR  000325 
HLT0   000327 
AMERR  000331 
ERR07  000335 
ERR15  000336 
ERR16  000337 
ERR17  000340 
ERR18  000341 
ERR19  000342 
ERR22  000343 
ERR38  000344 
INIDX  000345 
IDX    000351 
INLST  000412 
LSTX   000416 
LSERR  000442 
RBTAD  000444 
TPREL  000446 
COMAD  000450 
ALBUF  000451 
ADBUF  000452 
AEBUF  000453 
AIBUF  000454 
AKBUF  000455 
ATBUF  000456 
PLAD   000457 
AMLST  000460 
AMEM5  000461 
AILST  000462 
WDCNT  000463 
BLST   000464 
TLST   000465 
PLST   000466 
BIDNT  000467 
TIDNT  000470 
PIDNT  000471 
MAXC   000472 
TCHAR  000473 
OCTNO  000474 
DSKSY  000475 
DSIZE  000476 
DSKSC  000477 
PTRAK  000500 
DAUXN  000501 
SDS#   000502 
ADS#   000503 
PIOC   000504 
IDSP   000505 
TBCHN  000506 
SWAPF  000507 
LWASM  000510 
PARAD  000511 
TTYCH  000512 
DERCN  000513 
DSKAD  000514 
PLFLG  000515 
DSCNT  000516 
ID1    000517 
ID2    000520 
ID3    000521 
ID4    000522 
ID5    000523 
ID6    000524 
ID7    000525 
ID8    000526 
ID9    000527 
ID10   000530 
LST1   000531 
LST2   000532 
LST3   000533 
LST4   000534 
LST5   000535 
NXFLG  000536 
